"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
set-accesorios-de-bano-con-tapa-madera-liso;"SET Accesorios de Baño con tapa Madera - Liso";"Baño > Accesorios y organización";;;;;;;47,500.00;;1.50;30.00;25.00;25.00;;BH-001-254;;SI;NO;"<p>Descubrí el Set accesorios de baño con dispensador, diseñado para combinar funcionalidad y estilo en tu espacio. Fabricado con materiales de alta calidad, este set incluye un dispensador práctico que facilita el uso diario. Ideal para mantener tu baño ordenado y con un diseño moderno y elegante.<br />
¡Elegí este set para renovar tu baño con comodidad y buen gusto!</p>";"accesorios, bano, dispensador, madera, moderno";"Set accesorios de baño moderno con dispensador y madera";"Juego completo de accesorios de baño con diseño moderno y detalles en madera. Incluye dispensador y escobilla. ¡Decora y organiza tu baño hoy!";"Bambi Hogar";SI;;;;
set-accesorios-de-bano-con-tapa-madera-arrugado;"SET Accesorios de Baño con tapa Madera - Arrugado";"Baño > Accesorios y organización";;;;;;;47,500.00;;2.50;30.00;30.00;25.00;;BH-001-253;;SI;NO;"<p>Descubrí el <strong>Set accesorios para baño con tapa madera</strong>, diseñado para aportar funcionalidad y estilo natural a tu baño. Fabricado con materiales de alta calidad, combina resistencia y elegancia gracias a su tapa de madera que brinda un toque cálido y sofisticado.</p>
<p>Ideal para mantener tu baño organizado y con un diseño moderno y acogedor.</p>
<p>¡Elegí este set para renovar tu espacio con elegancia y practicidad!</p>";"bano, dispensador, escobilla, madera, organizador";"Set accesorios para baño con tapa de madera elegante y funcional";"Conjunto completo de accesorios para baño con tapa de madera. Añade estilo y organización. ¡Compra ahora y renueva tu baño!";"Bambi Hogar";SI;;;;
cortina-de-bano-persa-180x180cm;"Cortina de baño ""PERSA"" - 180x180cm";"Baño > Cortinas";;;;;;;18,400.00;;0.30;40.00;25.00;3.00;;BH-001-252;;SI;NO;"<p>Descubrí la <strong>Cortina de baño 180x180 cm</strong>, diseñada para brindar funcionalidad y estilo a tu baño. Fabricada con materiales resistentes al agua, protege eficazmente contra salpicaduras y mantiene tu espacio seco y ordenado. Su tamaño amplio se adapta a la mayoría de las bañeras y duchas, ofreciendo una cobertura completa.<br />
Ideal para renovar tu baño con un toque práctico y moderno.<br />
¡Elegí esta cortina para combinar comodidad y diseño en tu hogar!</p>";"anillas, bano, cortina, resistente, tejido";"Cortina de baño 180x180 cm resistente y con anillas metálicas";"Cortina de baño 180x180 cm con anillas metálicas, tela resistente ideal para ambientes húmedos. Protege y decora tu baño. ¡Compra ahora!";"Bambi Hogar";SI;;;;
perchero-metalico-con-base-para-zapatos-perchero;"Perchero metálico con base para zapatos - Perchero";"Infantil y Juvenil > Muebles y organización, Habitación";;;;;;;32,300.00;;6.00;150.00;100.00;45.00;;"BH-001-215 SKU0206";;SI;NO;"<p>Descubrí el <strong>Perchero metálico con base para zapatos</strong>, la solución perfecta para mantener tu espacio ordenado y funcional. Fabricado con materiales resistentes, combina un diseño moderno y práctico que permite colgar prendas y organizar calzados en un solo lugar. Ideal para entradas, dormitorios o vestidores, aporta estilo y comodidad a tu hogar.<br />
¡Elegí este perchero para sumar orden y elegancia a tu ambiente!</p>";"hogar, metalico, organizador, perchero, zapatos";"Perchero metálico con base para zapatos, práctico y resistente";"Organiza tu ropa y calzado con este perchero metálico con base para zapatos. Ideal para espacios interiores. ¡Compra ahora y ordena tu hogar!";"Bambi Hogar";SI;;;;
manta-para-cama-c-bolsa;"Manta para cama C/Bolsa";"Habitación > Cubrecama";;;;;;;46,100.00;;1.20;8.00;25.00;30.00;;"BH-001-211 SKU0202";;SI;NO;"<p>Descubrí la <strong>Frazada para cama</strong>, el complemento ideal para mantener tu descanso cálido y confortable. Fabricada con materiales suaves y de alta calidad, esta frazada ofrece una textura agradable al tacto y excelente capacidad de abrigo. Perfecta para cualquier época del año, aporta estilo y calidez a tu habitación.  </p>
<p>¡Elegí esta frazada para sumar confort y diseño a tu espacio de descanso!</p>";"abrigo, cama, frazada, liviana, suave";;;"Bambi Hogar";SI;;;;
manta-para-cama-s-bolsa;"Manta para cama S/Bolsa";"Habitación > Cubrecama";;;;;;;33,600.00;;1.20;8.00;25.00;30.00;41;"BH-001-210 SKU0201";;SI;NO;"<p>Descubrí la <strong>Frazada para cama</strong>, el complemento ideal para mantener tu descanso cálido y confortable. Fabricada con materiales suaves y de alta calidad, esta frazada ofrece una textura agradable al tacto y excelente capacidad de abrigo. Perfecta para cualquier época del año, aporta estilo y calidez a tu habitación.  </p>
<p>¡Elegí esta frazada para sumar confort y diseño a tu espacio de descanso!</p>";"abrigo, cama, frazada, liviana, suave";"Frazada suave y liviana para cama - abrigo cómodo";"Descubre la frazada suave y liviana para cama, ideal para abrigar sin peso. Perfecta para cubrir tu colchón. ¡Compra ahora y disfruta del confort!";"Bambi Hogar";SI;;;;
vaso-de-vidrio-doble-capa-250ml;"Vaso de vidrio doble capa - 250ml";"Cocina > Vajilla, Cocina > Café y té";;;;;;;10,800.00;;0.30;11.00;9.00;9.00;95;"BH-001-220 SKU0197";;SI;NO;"<p>Descubrí el <strong>Vaso de vidrio doble capa</strong>, el aliado ideal para disfrutar tus bebidas favoritas con estilo y funcionalidad. Su diseño de doble capa no solo aporta una estética moderna, sino que también <strong>mantiene la temperatura de tus bebidas por más tiempo</strong>, protegiendo tus manos del calor o frío. Fabricado con vidrio de alta calidad, es resistente y fácil de limpiar. </p>
<p>¡Elegí este vaso para sumar elegancia y practicidad a tu mesa diaria!</p>";"capa, doble, temperatura, vaso, vidrio";"Vaso de vidrio doble capa para mantener temperatura";"Vaso de vidrio doble capa que conserva la temperatura de tus bebidas. Perfecto para café y té. ¡Compra ahora y disfruta!";"Bambi Hogar";SI;;;;
carro-auxiliar-con-ruedas-y-bandejas-43x29cm;"Carro auxiliar con ruedas y bandejas - 43x29cm";"Cocina > Utensillos y organización";;;;;;;46,100.00;;5.50;70.00;50.00;40.00;;"BH-001-208 SKU0211";;SI;NO;"<p>Descubrí el <strong>Carro auxiliar con ruedas y bandejas</strong>, la solución práctica para organizar y transportar tus objetos con facilidad. Su diseño con ruedas permite una movilidad suave, mientras que las bandejas ofrecen espacio amplio y seguro para almacenar desde utensilios de cocina hasta herramientas. </p>
<p>Fabricado con materiales resistentes, es ideal para optimizar tu espacio y facilitar tus tareas diarias.<br />
¡Simplificá tu día a día con este auxiliar funcional y versátil!</p>";"auxiliar, bandejas, carro, organizador, ruedas";"Carro auxiliar con ruedas y bandejas metálicas para cocina";"Carro auxiliar con ruedas, estructura metálica y bandejas para organizar y almacenar en cocina. ¡Compra ahora y optimiza tu espacio!";"Bambi Hogar";SI;;;;
mopa-giratoria-con-balde-y-mango-kabolai;"Mopa giratoria con balde y mango ""KABOLAI""";"Baño > Accesorios y organización";;;;;;;62,700.00;;2.50;60.00;30.00;30.00;;"BH-001-216 SKU0212";;SI;NO;"<p>Descubrí la <strong>Mopa giratoria con balde y mango</strong>, la solución perfecta para limpiar tus pisos de manera rápida y eficiente. Su sistema giratorio facilita el escurrido sin esfuerzo, mientras que el balde resistente y el mango ergonómico aseguran comodidad y durabilidad. Ideal para mantener tu hogar impecable con menos esfuerzo.</p>
<p>¡Optimiza la limpieza diaria con esta mopa práctica y funcional!</p>";"balde, extensible, giratoria, limpieza, mopa";"Mopa giratoria con balde y mango extensible para limpieza eficaz";"Set de limpieza con mopa giratoria, balde con escurridor y mango extensible para un lavado y secado fácil del piso. ¡Compra ahora!";"Bambi Hogar";SI;;;;
manguera-para-jardin-enrollada-30mt;"Manguera para jardín enrollada - 30mt";Living;;;;;;;32,300.00;;2.40;15.00;35.00;35.00;0;BH-001-213;;SI;NO;"<p>Descubrí la <strong>Manguera para jardín enrollada</strong>, la herramienta ideal para mantener tu jardín siempre hidratado de manera fácil y ordenada. Su diseño compacto y enrollable permite guardarla sin ocupar espacio, evitando enredos y facilitando su uso diario.</p>
<p>Fabricada con materiales resistentes, garantiza durabilidad y un rendimiento eficiente.<br />
¡Optimizá el cuidado de tu jardín con esta manguera práctica y funcional!</p>";"exteriores, flexible, jardin, manguera, riego";;;"Bambi Hogar";SI;;;;
manguera-para-jardin-enrollada-15mt;"Manguera para jardín enrollada - 15mt";Living;;;;;;;25,400.00;;2.40;15.00;35.00;35.00;;BH-001-212;;SI;NO;"<p>Descubrí la <strong>Manguera para jardín enrollada</strong>, la herramienta ideal para mantener tu jardín siempre hidratado de manera fácil y ordenada. Su diseño compacto y enrollable permite guardarla sin ocupar espacio, evitando enredos y facilitando su uso diario.</p>
<p>Fabricada con materiales resistentes, garantiza durabilidad y un rendimiento eficiente.<br />
¡Optimizá el cuidado de tu jardín con esta manguera práctica y funcional!</p>";"exteriores, flexible, jardin, manguera, riego";"Manguera para jardín enrollada flexible y duradera";"Manguera para jardín enrollada, flexible y fácil de almacenar. Perfecta para riego prolongado en exteriores. ¡Compra ahora!";"Bambi Hogar";SI;;;;
estante-de-bano-de-metal-con-ganchos;"Estante de baño de metal con ganchos";"Baño > Accesorios y organización";;;;;;;32,300.00;;1.50;60.00;40.00;15.00;;"BH-001-205 SKU0205";;SI;NO;"<p>Descubrí el Estante de baño de metal con ganchos, la solución ideal para mantener tu baño organizado y aprovechar al máximo el espacio. Su estructura metálica resistente asegura durabilidad y estabilidad, mientras que los ganchos incorporados te permiten colgar toallas y accesorios de manera práctica.</p>
<p>Diseñado para combinar funcionalidad y estilo, es un elemento imprescindible para cualquier baño moderno.</p>
<p>¡Optimizá tu espacio con este estante funcional y elegante!</p>";"bano, estante, ganchos, metal, organizador";"Estante de baño metálico con ganchos y soporte jabón";"Organiza tu baño con este estante metálico colgante de dos niveles, incluye ganchos y soporte para jabón. ¡Compra ahora y mejora tu espacio!";"Bambi Hogar";SI;;;;
juego-de-jarra-y-vasos-de-vidrio;"Juego de jarra y vasos de vidrio";"Cocina > Vajilla";;;;;;;33,600.00;;2.50;20.00;25.00;15.00;8;"BH-001-201 SKU0203";;SI;NO;"<p>Descubrí el <em>Juego de jarra y vasos de vidrio</em>, la opción perfecta para disfrutar tus bebidas con estilo y practicidad. Este set incluye una jarra resistente y varios vasos, ideales para cualquier ocasión, desde reuniones familiares hasta momentos de relax.</p>
<p>Fabricados con vidrio de alta calidad, aseguran durabilidad y fácil limpieza.<br />
¡Elegí elegancia y funcionalidad para tu mesa con este imprescindible juego!</p>";"hogar, jarra, set, vasos, vidrio";"Juego de jarra y vasos de vidrio texturizado para el hogar";"Set de jarra con tapa y cinco vasos de vidrio texturizado, perfecto para servir bebidas. ¡Ideal para tu hogar, compra ahora!";"Bambi Hogar";SI;;;;
organizador-de-cocina-de-2-niveles-bajo-mesada;"Organizador de Cocina de 2 Niveles - Bajo Mesada";"Cocina > Utensillos y organización";;;;;;;22,600.00;;1.20;30.00;50.00;30.00;14;"BH-001-207 SKU0199";;SI;NO;"<p>Descubrí el <em>Organizador de Cocina de 2 Niveles</em>, la solución perfecta para mantener tu cocina ordenada y optimizar el espacio. Su diseño de dos niveles te permite almacenar utensilios, especias y otros elementos de forma práctica y accesible.</p>
<p>Fabricado con materiales resistentes y duraderos, es ideal para el uso diario.<br />
¡Elegí funcionalidad y orden con este organizador imprescindible en tu hogar!</p>";"ajustable, almacenamiento, cocina, organizador, practico";"Organizador de Cocina 2 Niveles Ajustable para Ollas y Sartenes";"Organizador de cocina ajustable con 2 niveles para maximizar espacio y organizar ollas y sartenes. ¡Optimiza tu cocina hoy mismo!";"Bambi Hogar";SI;;;;
vaso-con-tapa-y-sorbete-bambu-350ml;"Vaso con tapa y sorbete ""BAMBÚ"" - 350ml";"Cocina > Vajilla, Cocina > Café y té";;;;;;;0.00;;0.40;20.00;10.00;8.00;;;;SI;NO;"<p>Descubrí el vaso con tapa y sorbete, la solución ideal para disfrutar tus bebidas favoritas sin preocupaciones. Su diseño práctico evita derrames y mantiene tu bebida fresca por más tiempo. </p>
<p>Fabricado con materiales resistentes y seguros, es perfecto para uso diario y actividades al aire libre. </p>
<p>¡Elegí comodidad y funcionalidad con este vaso imprescindible para tu día a día!</p>";"asa, sorbete, tapa, transparente, vaso";"Vaso con tapa y sorbete GOOD MORNING con asa";"Vaso transparente con tapa de madera y sorbete, ideal para bebidas frescas. ¡Disfruta tu mañana con estilo! Compra ahora.";"Bambi Hogar";SI;;;;
escurridor-de-platos-doble-piso-con-bandeja;"Escurridor de platos doble piso con bandeja";"Cocina > Utensillos y organización";;;;;;;44,700.00;;1.50;30.00;45.00;35.00;3;"BH-001-199 SKU0210";;SI;NO;"<p>Descubrí el <strong>escurridor de platos doble con bandeja</strong>, la solución ideal para mantener tu cocina ordenada y tus platos perfectamente secos. Su diseño doble permite organizar más vajilla en menos espacio, mientras que la bandeja recoge el agua para evitar derrames.</p>
<p>Fabricado con materiales resistentes, es práctico y duradero para el uso diario.<br />
¡Elegí funcionalidad y comodidad con este esencial para tu hogar!</p>";"bandeja, doble, escurridor, metalico, platos";"Escurridor de platos doble con bandeja y compartimento";"Escurridor doble con estructura metálica y bandeja para utensilios. Organiza y seca tus platos eficientemente. ¡Compra ahora!";"Bambi Hogar";SI;;;;
tendedero-giratorio-de-pie;"Tendedero giratorio de pie";"Infantil y Juvenil > Muebles y organización, Baño";;;;;;;104,100.00;;3.50;90.00;15.00;15.00;5;"BH-001-214 SKU0209";;SI;NO;"<p>Descubrí el <strong>tendedero giratorio de pie</strong>, la solución ideal para secar tu ropa de manera práctica y eficiente. Su diseño giratorio permite un acceso cómodo desde cualquier ángulo, optimizando el espacio en tu hogar.</p>
<p>Fabricado con materiales resistentes, es perfecto para uso diario y para todo tipo de prendas. Su base estable asegura firmeza y seguridad durante el secado.</p>
<p>¡Elegí funcionalidad y comodidad con este imprescindible tendedero!</p>";"giratorio, hogar, movilidad, ropa, tendedero";"Tendedero giratorio de pie con múltiples brazos y ruedas";"Tendedero de pie giratorio con múltiples brazos, ruedas para movilidad y pinzas incluidas. Ideal para organizar ropa fácilmente. ¡Compra ahora!";"Bambi Hogar";SI;;;;
